Date,Day,Open,High,Low,Close,Volume
2024-11-01 06:30:00,5,70621,70595,70592,70640.8,2.05982347
2024-11-01 06:31:00,5,70594.2,70584,70584,70619.9,1.03352171
2024-11-01 06:32:00,5,70584.1,70585.9,70574,70596,1.2931056
2024-11-01 06:33:00,5,70586.2,70612.6,70586.1,70615.8,1.78085671
2024-11-01 06:34:00,5,70612.6,70584.6,70584,70612.7,0.70628109
2024-11-01 06:35:00,5,70584.6,70597,70580,70597.1,2.4245755
2024-11-01 06:36:00,5,70597,70638.5,70597,70641.6,1.76240129
2024-11-01 06:37:00,5,70638.5,70623,70608,70648.6,7.15074449
2024-11-01 06:38:00,5,70623,70566.4,70559,70623,1.69680373
2024-11-01 06:39:00,5,70566.4,70525.3,70510.2,70566.5,4.31209391
2024-11-01 06:40:00,5,70525.4,70546.1,70525.3,70551.7,0.3750671
2024-11-01 06:41:00,5,70546.2,70526.6,70524.9,70553.7,3.85034569
2024-11-01 06:42:00,5,70526.7,70471.4,70464,70526.7,5.17230351
2024-11-01 06:43:00,5,70471.8,70475.8,70471.7,70488.7,0.73561727
2024-11-01 06:44:00,5,70475.9,70476,70475.8,70488,0.81038301
2024-11-01 06:45:00,5,70476.1,70468.9,70458.9,70476.1,0.72899988
2024-11-01 06:46:00,5,70469.5,70438.1,70438,70469.8,0.79114062
2024-11-01 06:47:00,5,70438,70449.3,70426.7,70462.1,1.96198853
2024-11-01 06:48:00,5,70449.4,70425.1,70423.1,70459.4,6.22589329
2024-11-01 06:49:00,5,70425.2,70433.3,70424,70433.3,1.20576047
2024-11-01 06:50:00,5,70435.5,70428.5,70428.5,70444.2,1.49235316
2024-11-01 06:51:00,5,70428.1,70426.1,70412,70431.3,0.60378634
2024-11-01 06:52:00,5,70426,70402.7,70402,70426,1.04586922
2024-11-01 06:53:00,5,70402.8,70403,70402.7,70412.7,0.14286513
2024-11-01 06:54:00,5,70403.1,70357.2,70348,70403.1,2.67881033
2024-11-01 06:55:00,5,70357.3,70348.6,70348,70365,4.71010116
2024-11-01 06:56:00,5,70348.7,70344.3,70344.3,70350.3,0.57774399
2024-11-01 06:57:00,5,70344.3,70337.3,70308.4,70352,6.37250437
2024-11-01 06:58:00,5,70337.4,70310.6,70303,70343.9,3.53693833
2024-11-01 06:59:00,5,70310.6,70302.2,70300,70310.7,1.67111761
2024-11-01 07:00:00,5,70302.3,70318.5,70268,70320.1,5.52666517
2024-11-01 07:01:00,5,70318.7,70323.9,70305.1,70329.5,3.70610665
2024-11-01 07:02:00,5,70324,70309.5,70276,70347.5,7.92872692
2024-11-01 07:03:00,5,70310.4,70353.9,70310.4,70364,1.43205011
2024-11-01 07:04:00,5,70352.1,70355.3,70336.5,70355.3,0.82835918
2024-11-01 07:05:00,5,70357.9,70424.7,70352,70432,2.84769343
2024-11-01 07:06:00,5,70424.8,70424.4,70396,70428.6,0.91244815
2024-11-01 07:07:00,5,70424.5,70428.1,70418,70448.4,1.7442077
2024-11-01 07:08:00,5,70428,70402.3,70402.3,70428,2.74657473
2024-11-01 07:09:00,5,70402.3,70385.5,70365.5,70402.3,1.66507989
2024-11-01 07:10:00,5,70385.6,70369.9,70348.6,70385.6,2.41404746
2024-11-01 07:11:00,5,70370,70390.3,70362,70397.1,0.99110725
2024-11-01 07:12:00,5,70390.3,70362.6,70356,70390.4,3.11519851
2024-11-01 07:13:00,5,70362.7,70435.1,70362.7,70436.6,1.02463506
2024-11-01 07:14:00,5,70436.7,70462.4,70436.7,70462.5,0.71440847
2024-11-01 07:15:00,5,70462.5,70431.5,70422,70471.4,1.11129066
2024-11-01 07:16:00,5,70431.6,70414.2,70414.2,70457.9,0.78581115
